排名,片名,分数,评价人数,简评,导演,主演,年份,国家/地区,类型
1,肖申克的救赎/TheShawshankRedemption/月黑高飞(港)/刺激1995(台),9.7,1948578,希望让人自由。, 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情
2,霸王别姬/再见，我的妾/FarewellMyConcubine,9.6,1436355,风华绝代。, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性
3,阿甘正传/ForrestGump/福雷斯特·冈普,9.5,1479138,一部美国近现代史。, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情
4,这个杀手不太冷/Léon/杀手莱昂/终极追杀令(台),9.4,1673662,怪蜀黍和小萝莉不得不说的故事。, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国,剧情 动作 犯罪
5,美丽人生/Lavitaèbella/一个快乐的传说(港)/LifeIsBeautiful,9.5,935012,最美的谎言。, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争
6,泰坦尼克号/Titanic/铁达尼号(港/台),9.4,1425964,失去的才是永恒的。, 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国,剧情 爱情 灾难
7,千与千寻/千と千尋の神隠し/神隐少女(台)/千与千寻的神隐,9.3,1524900,最好的宫崎骏，最好的久石让。, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi H?ragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻
8,辛德勒的名单/Schindler'sList/舒特拉的名单(港)/辛德勒名单,9.5,755023,拯救一个人，就是拯救整个世界。, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争
9,盗梦空间/Inception/潜行凶间(港)/全面启动(台),9.3,1421390,诺兰给了我们一场无法盗取的梦。, 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险
10,忠犬八公的故事/Hachi:ADog'sTale/忠犬小八(台)/秋田犬八千(港),9.4,980589,永远都不能忘记你所爱的人。, 莱塞·霍尔斯道姆 Lasse Hallstr?m, 理查·基尔 Richard Ger...,2009,美国 英国,剧情
