排名,片名,分数,评价人数,简评,导演,主演,年份 ,国家/地区,类型,详情页链接,海报链接
1,肖申克的救赎/TheShawshankRedemption/月黑高飞(港)/刺激1995(台),9.7,1972723,希望让人自由。, 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
2,霸王别姬/再见，我的妾/FarewellMyConcubine,9.6,1459162,风华绝代。, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
3,阿甘正传/ForrestGump/福雷斯特·冈普,9.5,1496627,一部美国近现代史。, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情,https://movie.douban.com/subject/1292720/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg
4,这个杀手不太冷/Léon/杀手莱昂/终极追杀令(台),9.4,1690460,怪蜀黍和小萝莉不得不说的故事。, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国,剧情 动作 犯罪,https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
5,美丽人生/Lavitaèbella/一个快乐的传说(港)/LifeIsBeautiful,9.5,944180,最美的谎言。, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
6,泰坦尼克号/Titanic/铁达尼号(港/台),9.4,1443988,失去的才是永恒的。, 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国,剧情 爱情 灾难,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
7,千与千寻/千と千尋の神隠し/神隐少女(台)/千与千寻的神隐,9.4,1544580,最好的宫崎骏，最好的久石让。, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
8,辛德勒的名单/Schindler'sList/舒特拉的名单(港)/辛德勒名单,9.5,763339,拯救一个人，就是拯救整个世界。, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
9,盗梦空间/Inception/潜行凶间(港)/全面启动(台),9.3,1435106,诺兰给了我们一场无法盗取的梦。, 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
10,忠犬八公的故事/Hachi:ADog'sTale/忠犬小八(台)/秋田犬八千(港),9.4,992594,永远都不能忘记你所爱的人。, 莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger...,2009,美国 英国,剧情,https://movie.douban.com/subject/3011091/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
11,海上钢琴师/Laleggendadelpianistasull'oceano/声光伴我飞(港)/一九零零的传奇,9.3,1195066,每个人都要走一条自己坚定了的路，就算是粉身碎骨。, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
12,三傻大闹宝莱坞/3Idiots/三个傻瓜(台)/作死不离3兄弟(港),9.2,1325201,英俊版憨豆，高情商版谢耳朵。, 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,https://movie.douban.com/subject/3793023/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
13,楚门的世界/TheTrumanShow/真人Show(港)/真人戏,9.3,1058802,如果再也不能见到你，祝你早安，午安，晚安。, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
14,机器人总动员/WALL·E/瓦力(台)/太空奇兵·威E(港),9.3,946443,小瓦力，大人生。, 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险,https://movie.douban.com/subject/2131459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
15,放牛班的春天/Leschoristes/歌声伴我心(港)/唱诗班男孩,9.3,922610,天籁一般的童声，是最接近上帝的存在。, 克里斯托夫·巴拉蒂 Christophe Barratier, 热拉尔·朱尼奥 Gé...,2004,法国 瑞士 德国,剧情 音乐,https://movie.douban.com/subject/1291549/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
16,星际穿越/Interstellar/星际启示录(港)/星际效应(台),9.3,1065935,爱是一种力量，让我们超越时空感知它的存在。, 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
17,大话西游之大圣娶亲/西遊記大結局之仙履奇緣/西游记完结篇仙履奇缘/齐天大圣西游记,9.2,1044177,一生所爱。, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
18,熔炉/도가니/无声呐喊(港)/漩涡,9.3,641861,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
19,疯狂动物城/Zootopia/优兽大都会(港)/动物方城市(台),9.2,1242730,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·...,2016,美国,喜剧 动画 冒险,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg
20,无间道/無間道/InfernalAffairs/Mougaandou,9.2,850304,香港电影史上永不过时的杰作。, 刘伟强 / 麦兆辉, 刘德华 / 梁朝伟 / 黄秋生,2002,中国香港,剧情 犯罪 悬疑,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
21,龙猫/となりのトトロ/邻居托托罗/邻家的豆豆龙,9.2,888279,人人心中都有个龙猫，童年就永远不会消失。, 宫崎骏 Hayao Miyazaki, 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1291560/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
22,教父/TheGodfather/MarioPuzo'sTheGodfather,9.3,649289,千万不要记恨你的对手，这样会让你失去理智。, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M...,1972,美国,剧情 犯罪,https://movie.douban.com/subject/1291841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
23,当幸福来敲门/ThePursuitofHappyness/寻找快乐的故事(港)/追求快乐,9.1,1060541,平民励志片。, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,https://movie.douban.com/subject/1849031/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
24,怦然心动/Flipped/萌动青春/青春萌动,9.1,1229708,真正的幸福是来自内心深处。, 罗伯·莱纳 Rob Reiner, 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情,https://movie.douban.com/subject/3319755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
25,触不可及/Intouchables/闪亮人生(港)/逆转人生(台),9.2,693078,满满温情的高雅喜剧。, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,.,2011,法国,剧情 喜剧,https://movie.douban.com/subject/6786002/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
